Price,Close,High,Low,Open,Volume
Ticker,LOGO.IS,LOGO.IS,LOGO.IS,LOGO.IS,LOGO.IS
Date,,,,,
2020-01-02,13.629657745361328,14.001376027626673,13.483223062192863,14.001376027626673,200976
2020-01-03,13.393108367919922,13.652183957004137,12.627143888478294,12.627143888478294,259384
2020-01-06,12.728522300720215,13.517014832623236,12.54829560816297,12.920013000426913,407044
2020-01-07,12.672201156616211,12.976333640619544,12.615880262586806,12.762314930818716,249164
2020-01-08,12.503239631652832,12.660938321407277,12.052672437719396,12.390597833169473,558428
2020-01-09,13.145297050476074,13.24667483721935,12.559560063897324,12.63840897614838,624512
2020-01-10,13.043919563293457,13.15656135275406,12.863692012645567,13.043919563293457,180500
2020-01-13,12.841164588928223,13.156561957674919,12.705994779116034,12.931278368395477,384716
2020-01-14,12.94254207611084,13.043919860815466,12.615880707346456,12.784843395391276,256732
2020-01-15,12.818636894226074,13.235411201057067,12.728523112505945,12.976334723153231,451172
2020-01-16,13.167825698852539,13.179089706210883,12.841164329128553,12.841164329128553,465868
2020-01-17,13.145297050476074,13.167825924968296,12.897485446782454,13.03265525618103,196876
2020-01-20,13.967581748962402,14.249186219707612,13.201617244779973,13.201617244779973,1062228
2020-01-21,13.93379020690918,14.170338672564023,13.584600801526937,13.854941291283383,429652
2020-01-22,14.204129219055176,14.215393225917284,13.291730913006205,13.888732729972956,632848
2020-01-23,14.530792236328125,14.63216916907059,13.911262334779252,13.967583234920058,385932
2020-01-24,14.69975471496582,14.77860363021781,14.36182931921948,14.418150218510537,463848
2020-01-27,14.69975471496582,15.645945135544597,14.463206250432405,14.609640932344641,704640
2020-01-28,15.094000816345215,15.27422837927523,14.373093142791284,14.823661190727613,459952
2020-01-29,14.756073951721191,15.262961988230698,14.68848819267569,15.048943282548695,203780
2020-01-30,14.350564956665039,14.722282367168381,13.29173190427709,14.463205893075296,495448
2020-01-31,14.03516674041748,14.643432573020686,13.96758183888127,14.40688498794962,217176
2020-02-03,14.384357452392578,14.519527268037068,13.967583137998126,13.967583137998126,217300
2020-02-04,15.262964248657227,15.465719837044338,14.440678746117978,14.575848565450217,486536
2020-02-05,15.81490707397461,15.950078600804067,15.262962974937981,15.319283871524467,495640
2020-02-06,15.781115531921387,16.772361913008112,15.375604398729676,16.625928960423018,775660
2020-02-07,15.781115531921387,16.073983155868895,15.443190160520736,15.781115531921387,331324
2020-02-10,15.184114456176758,15.848700365574441,14.756075287293674,15.758586584949992,232336
2020-02-11,15.386869430541992,15.544567251378373,14.868716501318444,15.36433969718479,275376
2020-02-12,15.589624404907227,15.769851972099348,15.364340805305808,15.443191440188274,380184
2020-02-13,15.341812133789062,15.56709572376769,15.274228088061907,15.544567708525305,353480
2020-02-14,15.094000816345215,15.544568004892833,14.98135901920831,15.544568004892833,499424
2020-02-17,15.49951171875,15.54456774935311,15.037679670569856,15.116528583513995,320124
2020-02-18,15.758585929870605,15.950078350278812,15.420660555659422,15.544567213714457,975980
2020-02-19,15.319284439086914,15.938814324491165,15.09400084439446,15.803644511431177,741968
2020-02-20,16.00640106201172,16.783628823368087,15.003887973510462,15.657210781531305,5487108
2020-02-21,16.34432601928711,17.290516460562607,15.668475213011048,16.107777549579495,2857056
2020-02-24,17.211668014526367,17.470744507776462,16.10777799031566,16.43443853477609,2078412
2020-02-25,17.910045623779297,18.214178130238935,17.414422407235993,17.414422407235993,3128516
2020-02-26,17.932573318481445,18.68727299694323,17.245459404147088,17.853724406184373,2436500
2020-02-27,17.77487564086914,18.416933530279362,17.482006285598388,17.95510148207027,1558868
2020-02-28,16.693513870239258,17.313043749975904,14.305508132100755,14.305508132100755,2289240
2020-03-02,16.997644424438477,18.022685340701774,16.783625723528527,17.57211820718423,1067892
2020-03-03,17.605913162231445,17.68476207614028,17.17787399115537,17.572120279476966,1347468
2020-03-04,17.729816436767578,18.079006661033645,17.572118623808404,17.819930209363072,833508
2020-03-05,17.898780822753906,18.315556845906613,17.797403893151984,18.011422619546007,665128
2020-03-06,17.662233352661133,18.02268674378129,17.00891061444359,18.02268674378129,514316
2020-03-09,16.67098617553711,17.572120563403978,16.22041898160367,17.572120563403978,1127792
2020-03-10,16.29926872253418,17.44821478151644,16.141570884179224,17.346837845256474,948628
2020-03-11,16.29926872253418,16.29926872253418,16.29926872253418,16.29926872253418,0
2020-03-12,14.260451316833496,14.722282512283686,13.212883121210682,14.001375699575442,1236312
2020-03-13,13.055184364318848,14.86871711304768,12.953806575761236,13.96758274255994,3137372
2020-03-16,11.410614013671875,12.739786659983517,11.410614013671875,11.737274526977885,1614684
2020-03-17,11.043401718139648,11.602104919893304,10.403596286239887,11.602104919893304,575900
2020-03-18,11.088458061218262,11.568311466932943,10.700970029361233,11.183076752129217,375440
2020-03-19,10.885704040527344,11.232641008541593,10.777568010118118,10.9262551593544,462500
2020-03-20,11.286706924438477,11.737274080853405,10.930759317752782,11.151537121269458,920040
2020-03-23,11.444406509399414,11.703482988656255,10.250403622010053,10.250403622010053,900148
2020-03-24,12.55955982208252,12.55955982208252,11.771067277198416,11.771067277198416,360448
2020-03-25,13.674714088439941,13.809883898719674,12.705994823065332,13.145297136168812,2088452
2020-03-26,14.361828804016113,14.575847526133636,13.471958455262083,13.652185154650429,1573888
2020-03-27,13.37058162689209,14.778604159605612,12.953807300964389,14.418150734986451,1779892
2020-03-30,12.976333618164062,13.663449211644672,12.784842922550915,13.449429642825562,732224
2020-03-31,13.449430465698242,13.843676747342895,13.280467773564817,13.494487355478226,829180
2020-04-01,13.257939338684082,13.640921625432638,12.897485927267041,13.291732221986996,1027756
2020-04-02,13.156561851501465,13.517015247684236,13.032655190886745,13.3142596752135,483436
2020-04-03,13.246674537658691,13.84367637767728,12.841164259244493,13.246674537658691,873064
2020-04-06,13.990111351013184,14.136546036179302,13.404374329126192,13.517016130211285,1449024
2020-04-07,13.731035232543945,14.643433616789224,13.528279654094456,14.181602420752844,1433060
2020-04-08,14.575848579406738,14.846189937107575,13.471959428766468,13.832413712978829,1988004
2020-04-09,15.139057159423828,15.296756709929207,14.542056997327085,14.643433929326825,2272420
2020-04-10,14.981358528137207,15.296755893537673,14.823660704825656,15.262963011748807,1119076
2020-04-13,14.958831787109375,15.431927016110546,14.282980968885555,14.620906377997466,1223820
2020-04-14,15.116528511047363,15.28549120316513,14.93630267072151,15.206642290598982,828168
2020-04-15,14.339300155639648,15.195376725082768,13.94505389215501,15.093999801983355,806024
2020-04-16,14.102751731872559,14.463205115289698,14.035166829905426,14.260450409388302,735688
