Date,Close,High,Low,Open,Volume
2020-01-02,2.8977839946746826,3.1875619888305664,2.8977839946746826,3.1875619888305664,26117
2020-01-03,2.8543169498443604,2.919517040252685,2.8543169498443604,2.919517040252685,177365
2020-01-06,2.8977839946746826,2.999206066131592,2.8977839946746826,2.999206066131592,26710
2020-01-07,2.8977839946746826,3.078895092010498,2.8977839946746826,3.078895092010498,25464
2020-01-08,2.8253390789031982,2.912272930145264,2.8253390789031982,2.912272930145264,5170
2020-01-09,2.8470730781555176,2.8615610599517822,2.7891170978546143,2.8615610599517822,33907
2020-01-10,2.8543169498443604,3.1151180267333984,2.8543169498443604,3.1151180267333984,46580
2020-01-13,2.8977839946746826,2.9340059757232666,2.8977839946746826,2.9340059757232666,35295
2020-01-14,2.8977839946746826,2.9340059757232666,2.8977839946746826,2.9340059757232666,33322
2020-01-15,2.8977839946746826,3.1151180267333984,2.8977839946746826,3.1151180267333984,14627
2020-01-16,2.8977839946746826,3.1151180267333984,2.8977839946746826,3.1151180267333984,13179
2020-01-17,2.796360969543457,2.8977839946746826,2.7891170978546143,2.8977839946746826,41629
2020-01-20,2.912272930145264,2.912272930145264,2.8905389308929443,2.8977839946746826,72358
2020-01-21,2.919517040252685,3.078895092010498,2.919517040252685,3.078895092010498,272736
2020-01-22,2.912272930145264,3.1151180267333984,2.912272930145264,3.1151180267333984,183294
2020-01-23,2.926762104034424,3.1151180267333984,2.919517040252685,3.1151180267333984,372111
2020-01-24,2.919517040252685,3.042673110961914,2.919517040252685,3.042673110961914,289383
2020-01-27,2.8615610599517822,2.9340059757232666,2.8615610599517822,2.9050281047821045,47650
2020-01-28,2.8977839946746826,2.9702279567718506,2.8977839946746826,2.9702279567718506,114925
2020-01-29,2.8615610599517822,2.9340059757232666,2.8615610599517822,2.9340059757232666,594773
2020-01-30,2.8760499954223637,2.8977839946746826,2.7528951168060303,2.8977839946746826,453516
2020-01-31,2.8977839946746826,2.9702279567718506,2.8977839946746826,2.9702279567718506,272183
2020-02-03,2.8253390789031982,2.8977839946746826,2.8253390789031982,2.8977839946746826,73191
2020-02-04,2.8615610599517822,2.8977839946746826,2.8325839042663574,2.8977839946746826,33900
2020-02-05,2.8543169498443604,2.8977839946746826,2.8543169498443604,2.8977839946746826,37458
2020-02-06,2.8977839946746826,2.8977839946746826,2.8398280143737797,2.8543169498443604,74346
2020-02-07,2.8253390789031982,2.9050281047821045,2.8253390789031982,2.9050281047821045,54997
2020-02-10,2.8325839042663574,2.9340059757232666,2.8253390789031982,2.9340059757232666,46717
2020-02-11,2.7528951168060303,2.8905389308929443,2.7528951168060303,2.8905389308929443,39344
2020-02-12,2.8253390789031982,2.8543169498443604,2.7528951168060303,2.7528951168060303,34256
2020-02-13,2.8180949687957764,2.8180949687957764,2.8180949687957764,2.8180949687957764,29125
2020-02-14,2.8253390789031982,2.8253390789031982,2.8036060333251958,2.8036060333251958,46416
2020-02-17,2.7528951168060303,2.8832950592041016,2.7528951168060303,2.8832950592041016,38531
2020-02-18,2.8977839946746826,3.006450891494751,2.8977839946746826,3.006450891494751,157336
2020-02-19,2.7528951168060303,2.8977839946746826,2.7528951168060303,2.8977839946746826,63365
2020-02-20,2.716671943664551,2.8832950592041016,2.716671943664551,2.8832950592041016,3278
2020-02-21,2.7528951168060303,2.8253390789031982,2.680449962615967,2.680449962615967,58753
2020-02-24,2.658716917037964,2.7528951168060303,2.658716917037964,2.7528951168060303,12042
2020-02-25,2.680449962615967,2.8253390789031982,2.680449962615967,2.8253390789031982,27157
2020-02-26,2.709428071975708,2.8760499954223637,2.709428071975708,2.8615610599517822,55213
2020-02-27,2.6080050468444824,2.8253390789031982,2.6080050468444824,2.8253390789031982,21903
