Date,Close,High,Low,Open,Volume
2020-01-02,2.547276973724365,2.624466896057129,2.547276973724365,2.624466896057129,6055
2020-01-03,2.547276973724365,2.547276973724365,2.547276973724365,2.547276973724365,9317
2020-01-06,2.547276973724365,2.547276973724365,2.547276973724365,2.547276973724365,67
2020-01-07,2.431490898132324,2.508681058883667,2.431490898132324,2.508681058883667,93289
2020-01-08,2.431490898132324,2.431490898132324,2.431490898132324,2.431490898132324,7405
2020-01-09,2.674639940261841,2.740252017974853,2.674639940261841,2.740252017974853,25
2020-01-10,2.713236093521118,2.7286739349365234,2.713236093521118,2.7286739349365234,111
2020-01-13,2.66306209564209,2.6977970600128174,2.66306209564209,2.6977970600128174,14823
2020-01-14,2.6051690578460693,2.8946330547332764,2.6051690578460693,2.8946330547332764,875
2020-01-15,2.508681058883667,2.585871934890747,2.508681058883667,2.585871934890747,531
2020-01-16,2.470086097717285,2.470086097717285,2.470086097717285,2.470086097717285,448
2020-01-17,2.431490898132324,2.4662270545959477,2.431490898132324,2.4662270545959477,26093
2020-01-20,2.423772096633911,2.450788974761963,2.423772096633911,2.450788974761963,10159
2020-01-21,2.373599052429199,2.419913053512573,2.373599052429199,2.419913053512573,15
2020-01-22,2.3928959369659424,2.6553430557250977,2.3928959369659424,2.3928959369659424,61790
2020-01-23,2.508681058883667,2.5627150535583496,2.508681058883667,2.5627150535583496,15546
2020-01-24,2.470086097717285,2.6592020988464355,2.470086097717285,2.6592020988464355,8967
2020-01-27,2.427632093429565,2.4662270545959477,2.427632093429565,2.4662270545959477,21759
2020-01-28,2.423772096633911,2.427632093429565,2.423772096633911,2.427632093429565,12633
2020-01-29,2.416053056716919,2.423772096633911,2.416053056716919,2.423772096633911,13605
2020-01-30,2.504822015762329,2.624466896057129,2.4083340167999268,2.4083340167999268,1326
2020-01-31,2.470086097717285,2.497102975845337,2.470086097717285,2.497102975845337,1057
2020-02-03,2.458508014678955,2.462367057800293,2.458508014678955,2.462367057800293,318
2020-02-04,2.454648017883301,2.454648017883301,2.454648017883301,2.454648017883301,7589
2020-02-05,2.4469289779663086,2.4469289779663086,2.4469289779663086,2.4469289779663086,8187
2020-02-06,2.4430699348449707,2.4430699348449707,2.4430699348449707,2.4430699348449707,75950
2020-02-07,2.612888097763061,2.6206068992614746,2.6051690578460693,2.6206068992614746,47607
2020-02-10,2.628325939178467,2.628325939178467,2.504822015762329,2.504822015762329,165220
2020-02-11,2.933228015899658,3.021996021270752,2.66306209564209,2.66306209564209,23386
2020-02-12,2.817441940307617,2.817441940307617,2.778846979141236,2.778846979141236,250272
2020-02-13,2.798145055770874,2.798145055770874,2.798145055770874,2.798145055770874,34841
2020-02-14,2.8946330547332764,2.9525249004364014,2.88305401802063,2.9525249004364014,3308
2020-02-17,3.010417938232422,3.010417938232422,2.97182297706604,2.97182297706604,95664
2020-02-18,2.856036901473999,2.8946330547332764,2.856036901473999,2.856036901473999,123896
2020-02-19,3.2419888973236084,3.3809309005737305,3.2419888973236084,3.3809309005737305,9120
2020-02-20,3.0876080989837646,3.2883028984069824,3.0876080989837646,3.2883028984069824,7319
