Date,Close,High,Low,Open,Volume
2020-07-21,11.86968994140625,12.015593643991652,11.58646529956338,12.015593643991652,13545
2020-07-22,11.929770469665527,12.0070137208939,11.843945271576546,12.0070137208939,6414
2020-07-23,11.835360527038574,11.92976847469826,11.835360527038574,11.92976847469826,6856
2020-07-24,13.011173248291016,13.011173248291016,13.0025904836595,13.011173248291016,55570
2020-07-27,13.01208209991455,13.269577294579635,13.01208209991455,13.269577294579635,21018
2020-07-28,11.947769165039062,12.87475118486497,11.947769165039062,12.87475118486497,15436
2020-07-29,11.158116340637209,11.673106653011509,11.158116340637209,11.673106653011509,118578
2020-07-30,10.737542152404783,11.15811714047737,10.728958788920549,11.15811714047737,5805
2020-08-04,10.900622367858888,11.201033552449983,10.74612591221756,10.74612591221756,23319
2020-08-05,11.243950843811035,11.243950843811035,10.299801999745783,10.299801999745783,30571
2020-08-06,11.252532958984377,11.84477200967311,11.21820031970928,11.595860170290004,12859
2020-08-07,11.23536777496338,11.252533686433315,11.158119126961807,11.252533686433315,16820
2020-08-10,11.346945762634276,11.364111669109144,11.278280499625817,11.278280499625817,4368
2020-08-11,11.304030418395996,11.364112322343416,11.158116521476934,11.364112322343416,2849
2020-08-12,11.595858573913574,12.351177352537253,11.243948865151824,11.243948865151824,6898
2020-08-13,11.664523124694824,12.342593229189111,11.664523124694824,12.025016174532752,4702
2020-08-14,12.016432762145996,12.016432762145996,11.75893761067482,11.947767497560951,24587
2020-08-17,12.660174369812012,12.660174369812012,12.291097838110469,12.291097838110469,11830
2020-08-18,12.960580825805664,12.960580825805664,12.866165477108128,12.866165477108128,7539
2020-08-19,12.994915962219238,13.00349850766562,12.960583324769772,12.960583324769772,18206
2020-08-20,13.003498077392578,13.003498077392578,12.454175896377684,12.454175896377684,15751
2020-08-21,12.977750778198242,13.218079268936709,12.977750778198242,13.18374662740264,9939
2020-08-24,13.003498077392578,13.132246077483908,12.97774880479616,13.132246077483908,12019
2020-08-25,12.79750156402588,12.87475019617164,12.7030870239336,12.87475019617164,7425
2020-08-26,12.70308780670166,12.797502352611792,12.68592107914275,12.797502352611792,4101
2020-08-27,12.951997756958008,12.951997756958008,12.874749131202076,12.951997756958008,13926
2020-08-28,12.951997756958008,12.960581119498556,12.909081762809766,12.951997756958008,7054
2020-08-31,13.054996490478516,13.054996490478516,13.00349713048123,13.037829764294568,5036
2020-09-01,13.132246017456056,13.157995289934773,13.046414017787509,13.046414017787509,3080
2020-09-02,12.977750778198242,13.29532791702704,12.977750778198242,13.054999426288576,8781
2020-09-03,13.20949363708496,13.26099217808001,13.183743548032888,13.26099217808001,1573
2020-09-04,13.312490463256836,13.312490463256836,13.209492571024544,13.209492571024544,7375
2020-09-07,13.192327499389648,13.303908767927853,13.192327499389648,13.303908767927853,9136
2020-09-08,13.089329719543455,13.192327625667412,12.986331813419502,13.192327625667412,8610
2020-09-09,12.883334159851074,12.92625015954933,12.8747507962005,12.883334159851074,15451
2020-09-10,13.02924919128418,13.037831737120268,12.883335270859822,12.883335270859822,5067
2020-09-11,12.943415641784668,13.123662179734175,12.874750371951956,13.123662179734175,6499
2020-09-14,12.960580825805664,13.03782863125662,12.934830738767523,12.934830738767523,6988
2020-09-15,12.960580825805664,13.115077255262063,12.960580825805664,13.115077255262063,5409
2020-09-16,12.874749183654783,12.99491380404852,12.874749183654783,12.99491380404852,13542
2020-09-17,13.080743789672852,13.080743789672852,12.531421731453165,12.531421731453165,9264
2020-09-18,14.385390281677246,14.385390281677246,13.733069293770038,13.733069293770038,11472
2020-09-21,15.81877899169922,15.81877899169922,15.810195627188708,15.81877899169922,69170
2020-09-22,17.166332244873047,17.166332244873047,15.818775425587956,16.385264258700044,54381
2020-09-23,15.604199409484863,18.282146861259616,15.604199409484863,18.282146861259616,48700
2020-09-24,17.157751083374023,17.157751083374023,15.04629273219922,15.44970100234559,38259
2020-09-25,18.436643600463867,18.539642331928103,17.74999084773328,17.74999084773328,23043
2020-09-28,20.273441314697266,20.273441314697266,19.312125883713268,19.312125883713268,29102
2020-09-29,18.247812271118164,21.45791636249421,18.247812271118164,21.42358291050185,48378
2020-09-30,18.96879768371582,20.599598938961822,18.96879768371582,20.599598938961822,24174
2020-10-01,19.82711601257324,19.82711601257324,17.08050192948349,19.82711601257324,47322
2020-10-02,22.17890167236328,22.17890167236328,19.82711432147035,19.82711432147035,52985
2020-10-05,24.39336204528809,24.39336204528809,22.31623544950375,22.31623544950375,90530
2020-10-06,24.59935760498047,25.5950048910983,22.659561578686283,25.5950048910983,52032
2020-10-07,22.50506591796875,23.861206397167,21.92141186884684,23.861206397167,43544
2020-10-08,23.054386138916016,23.60370828047767,20.94292629234745,22.00723876017772,32237
2020-10-09,22.711057662963867,23.19171616334963,22.041571726962907,22.333399517515304,26106
2020-10-12,22.26473426818848,22.899888390133636,21.54374815417309,22.127403735719746,20320
